Initial Expression,Expression Change (Position1),Expression Change (Position2),Expression Change (Position3),Expression Change (Position4),Expression Change (Position5),Expression Change (Position6),Expression Change (Position7),Expression Change (Position8),Expression Change (Position9)
0.08,0.255671984,NA,0.280410776,0.308374334333333,NA,NA,NA,0.359120169333333,NA
0.24,0.136810465832222,0.141439705831425,0.146068696122222,0.14157959458125,0.131650191505474,0.147522916528985,0.136748874771003,0.129026200817558,0.128507380779835
0.4,0.00826364852484221,0.0338330671770091,0.0382465163564036,0.0386773791153455,0.0287123838155879,0.0284095597339626,0.0214472771109422,0.0168567683363112,0.0159545838568486
0.56,-0.0918784152781416,-0.0497993521159013,-0.0605763250248832,-0.0596164517474362,-0.0657771345503906,-0.0616798058745176,-0.0598906140679096,-0.0560095160603409,-0.0423736896467312
0.72,-0.220197861551041,-0.156965441708743,-0.186613193131128,-0.186753298522756,-0.191828220087175,-0.185983964877821,-0.166121390787593,-0.151466027339295,-0.101175408673163
0.88,-0.34020455104399,-0.245379956817526,-0.301553244282955,-0.296380129585441,-0.323925032045089,-0.320545938431801,-0.28604756533954,-0.257058624975468,-0.152467602314165
1.04,-0.421395212344129,-0.332171495489016,-0.406006138135642,-0.419476551682343,-0.452010737809744,-0.450155251795319,-0.398975131547129,-0.349264628608606,-0.19303726807253
1.2,-0.526583874968181,-0.416088972801597,-0.525573591976386,-0.550699835795695,-0.583644452508055,-0.602523559510825,-0.540968292773478,-0.457382864221212,-0.258960583237664
1.36,-0.607678018767635,-0.513825254560097,-0.652337733451732,-0.696412896407747,-0.742675120939979,-0.753926863297663,-0.68244973369631,-0.569859227056178,-0.334598669094635
1.52,-0.683401801081128,-0.566487890595924,-0.766710278209984,-0.794526062893561,-0.878546413006654,-0.903173156892118,-0.820128375595833,-0.672026163516573,-0.429847351951867
1.68,-0.714742399460118,-0.643125415089825,-0.858156640171393,-0.937672255624733,-1.01581528359376,-1.05253654398919,-0.974486782657111,-0.765637947140142,-0.480038797800582
1.84,-0.705214723786721,-0.72704827096242,-0.897122065595788,-1.064432692777,-1.1557824243799,-1.1980214292673,-1.09424677312544,-0.904187880695186,-0.664827657531205
2,-0.771241369035584,-0.776562832734611,-0.964220454382604,-1.16242649228177,-1.27878178663827,-1.33278074317894,-1.21912888329101,-1.00110724888384,-0.763441049631442
2.16,-0.819251483046763,-0.856572707716596,-1.06063159859491,-1.30431450667608,-1.40784807431431,-1.48345319367046,-1.37292370695384,-1.17132535215677,-0.909087883799287
2.32,-0.906054752826241,-0.910668810906028,-1.12542213323205,-1.34549112515079,-1.56256404731371,-1.57125335507879,-1.50731859269415,-1.20939123359224,-0.986107229053659
2.48,-0.957957267292146,-0.918661956885922,-1.15880583331571,-1.46485991318576,-1.57103794246383,-1.71211412570468,-1.60595041057592,-1.41751995763871,-1.11781381359806
2.64,-1.08484574056463,-0.872648293978308,-1.08884291980364,-1.5218721510952,-1.65915619956006,-1.83368771599416,-1.75729080035439,-1.44704184736343,-1.14259476552668
2.8,-0.988425687537037,-0.708419451658291,-1.03962075404678,-1.47360706920186,-1.66488659300769,-1.93181052618499,-1.90355480217962,-1.59303921479662,-1.21902288572527
2.96,-0.971455091666667,-0.516219557,-1.21433629016026,-1.00249752914167,-1.70414404403509,-1.96513466075817,-1.95565568941071,-2.12939865577381,-1.426057115
3.12,NA,NA,NA,NA,-1.088247571,-2.08218695027778,-1.36549882061111,-2.58049714277778,-1.74921509833333
