Initial Expression,Expression Change (Position1),Expression Change (Position2),Expression Change (Position3),Expression Change (Position4),Expression Change (Position5),Expression Change (Position6),Expression Change (Position7),Expression Change (Position8),Expression Change (Position9)
0.35,-0.00913564542046063,-0.00770023921471583,-0.0293445121951219,-0.0365698385260761,-0.0332368342628464,-0.0308791301416049,-0.0356748532927624,-0.0264509828896531,-0.00844172994387587
1.05,-0.117429968875056,-0.0374584165003327,-0.161404639175258,-0.422201492537313,-0.569800884955752,-0.465605381165919,-0.81006006006006,-0.934607674684994,-0.883740870117498
1.75,-0.858515671200473,-1.131852248394,-1.26411629686305,-1.10430664760543,-1.12312948411343,-1.22538971161341,-1.24444444444444,-1.17145736434109,-0.884601472677949
2.45,-1.12689957999236,-1.63222084146991,-1.70504966887417,-1.74661925272964,-1.71533805273417,-1.7204254418457,-1.63722068904122,-1.40484696250814,-0.344421699078813
3.15,-1.35477941176471,-2.08587248031837,-2.20503194888179,-2.29669711876318,-2.33785780240074,-2.17772181325068,-2.01974618197462,-1.31017075906768,-0.401118533478328
3.85,-0.417543138866064,-1.97522910302694,-2.46368581375109,-2.78152448258455,-2.85021383647799,-2.70548885077187,-2.02672886937431,-1.00534111310592,-0.295827725437416
4.55,-0.78382229673093,-1.39980392156863,-2.26092140921409,-2.7289046653144,-3.05169404517454,-2.76038478355925,-2.75565953654189,-2.0945870275315,-1.14325551232166
5.25,-1.37946389969736,-2.02534807534808,-2.98843226788432,-3.08583545377439,-3.27985175202156,-3.18954694323144,-3.27434944237918,-2.60775280898876,-1.58252194732642
5.95,-1.62409497859089,-2.67600438276114,-3.37200121469784,-3.65220641427538,-3.5024594078319,-3.6500147275405,-3.13347732181425,-1.98934210526316,-0.590686845168801
6.65,-1.47875,-2.79138481174218,-3.71104100946372,-3.8643153526971,-3.99400092293493,-3.72204806687565,-3.13139400921659,-2.02248711340206,-0.554626865671642
7.35,-0.416197183098591,-1.52555555555556,-3.21021341463415,-4.07375455650061,-4.20743440233236,-4.07151664611591,-3.45507649513213,-2.21433823529412,-1.12473794549266
8.05,-0.633018867924528,-0.975598086124402,-3.16932907348243,-4.2,-4.19170403587444,-4.48662551440329,-3.49661733615222,-3.27290502793296,-1.82302631578947
8.75,-1.53916913946588,-3.1343669250646,-3.52586558044807,-4.55251677852349,-4.58039473684211,-4.80103092783505,-3.77993827160494,-3.61953488372093,-1.66237942122186
9.45,-2.21449814126394,-4.00677966101695,-4.03322580645161,-4.85348837209302,-4.91111111111111,-4.94917127071823,-3.93033333333333,-3.1703007518797,-1.15359116022099
10.15,-1.45092592592593,-3.64984894259819,-4.22142857142857,-4.53490813648294,-5.1936974789916,-3.91285046728972,-3.64358974358974,-2.603125,-0.719393939393939
10.85,-1.3039603960396,-2.92784810126582,-3.67185929648241,-4.89078341013825,-5.25228215767635,-4.89911111111111,-4.00105263157895,-3.02290502793296,-1.46349206349206
11.55,-0.641463414634146,-1.20408163265306,-3.51195652173913,-5.16019417475728,-5.16626506024096,-5.26666666666667,-4.566,-3.41954022988506,-1.49423076923077
12.25,-0.822222222222222,-1.6,-4.5,-5.85333333333333,-6.14516129032258,-5.88125,-5.17333333333333,-3.55757575757576,-0.493333333333333
12.95,-0.85,-1.75,-5.6,-6.525,-6.9,-6.6,-4.9875,-3.825,-0.566666666666666
13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
